data,date
41.832444922278114,2024-01-01
41.092498397504365,2024-01-02
66.00173082809121,2024-01-03
80.53650024336847,2024-01-04
104.00806103737688,2024-01-05
137.65846224968405,2024-01-06
213.45690338649743,2024-01-07
247.1247510764938,2024-01-08
310.55977958970595,2024-01-09
434.9653569511722,2024-01-10
583.3225590134942,2024-01-11
752.1103931728762,2024-01-12
1168.9708867409379,2024-01-13
1337.9882468219405,2024-01-14
1803.3113078926006,2024-01-15
2319.3700474570405,2024-01-16
3657.5007458019095,2024-01-17
4579.412345679191,2024-01-18
5486.039341383789,2024-01-19
6602.700426003134,2024-01-20
11100.426006675392,2024-01-21
12723.401532767006,2024-01-22
16476.50883124627,2024-01-23
20289.299396421935,2024-01-24
31985.475211857836,2024-01-25
38797.14195824564,2024-01-26
51108.4540523744,2024-01-27
72574.74247623216,2024-01-28
107995.6585230738,2024-01-29
131010.22162396541,2024-01-30
160518.96290255163,2024-01-31
196741.82175405955,2024-02-01
280087.9098607548,2024-02-02
379786.1333538463,2024-02-03
486648.94496879017,2024-02-04
629753.7949077616,2024-02-05
837262.5932473883,2024-02-06
1026761.1089724659,2024-02-07
1421807.6821914273,2024-02-08
2344340.688303217,2024-02-09
2991047.9098746236,2024-02-10
3067245.73298174,2024-02-11
4813812.420520506,2024-02-12
6428741.403986923,2024-02-13
6123890.972410625,2024-02-14
7637456.659193291,2024-02-15
11551768.958522758,2024-02-16
11260841.211968394,2024-02-17
14702231.941225585,2024-02-18
16050868.486227548,2024-02-19
20710409.033095412,2024-02-20
21272018.940742787,2024-02-21
20323421.837957975,2024-02-22
21936022.382104762,2024-02-23
21263480.283767838,2024-02-24
19510278.542521942,2024-02-25
17937313.168548636,2024-02-26
13750063.890520334,2024-02-27
12381599.948185358,2024-02-28
9482315.207867604,2024-02-29
8163587.048322724,2024-03-01
8607366.92675188,2024-03-02
7332421.9898927305,2024-03-03
6046729.931242316,2024-03-04
5284978.922866,2024-03-05
4418782.4946427075,2024-03-06
3012153.90130046,2024-03-07
3125084.2910819664,2024-03-08
2286104.0974061955,2024-03-09
2145533.8244522926,2024-03-10
1721465.6761566133,2024-03-11
1797442.4503488203,2024-03-12
1406487.8185603423,2024-03-13
1073192.5209312895,2024-03-14
1083840.805692596,2024-03-15
971176.0106939322,2024-03-16
777229.6872948012,2024-03-17
741345.5768463692,2024-03-18
744219.3901409484,2024-03-19
661640.9303716926,2024-03-20
440305.445688424,2024-03-21
404924.4510133043,2024-03-22
461324.75791979546,2024-03-23
390477.1188791812,2024-03-24
341820.53953908116,2024-03-25
277171.44574345235,2024-03-26
254061.64599836624,2024-03-27
243079.51544434534,2024-03-28
190743.4175987937,2024-03-29
168853.79017851825,2024-03-30
204256.37242744042,2024-03-31
173277.18859021712,2024-04-01
165945.48412468945,2024-04-02
137229.22091355646,2024-04-03
117772.78628429148,2024-04-04
119122.62567075629,2024-04-05
107621.2781636045,2024-04-06
101689.00197812854,2024-04-07
75593.56154733748,2024-04-08
76491.46234068373,2024-04-09
71615.81390283679,2024-04-10
68661.80986783066,2024-04-11
63910.935851796006,2024-04-12
47435.60654367131,2024-04-13
41279.27936920019,2024-04-14
43095.15863087255,2024-04-15
43015.52259367828,2024-04-16
31651.997192850533,2024-04-17
34309.47381944105,2024-04-18
31789.92503979303,2024-04-19
30126.440366461327,2024-04-20
26799.157982106277,2024-04-21
20871.306277329062,2024-04-22
20055.430893946883,2024-04-23
20148.74198507378,2024-04-24
16592.732695517752,2024-04-25
16558.39836027858,2024-04-26
14869.804885112066,2024-04-27
13356.36742492508,2024-04-28
11364.531441392663,2024-04-29
12738.843602683546,2024-04-30
